File Name,Email,Matched Skills
armaan.pdf,arman@gmail.com,"ds, sql, ai, r, leadership, python, java"
Arman.docx,arman@gmail.com,"ds, ml, sql, hadoop, ai, r, leadership, python, java"
arman.txt,arman@gmail.com,"ds, sql, ai, r, leadership, python, java"
bhuvan.docx,bhuvan@gmail.com,"ds, ml, sql, hadoop, ai, r, leadership, python, java"
bhuvan.pdf,bhuvan@gmail.com,"ds, ml, sql, hadoop, ai, r, leadership"
bhuvan.txt,bhuvan@gmail.com,"ds, ml, sql, hadoop, ai, r, leadership"
emily.docx,johndoe@email.com,"ml, sql, ai, r, python, java"
emily.pdf,johndoe@email.com,"ml, sql, ai, r, python, java"
emily.txt,johndoe@gmail.com,"ml, sql, ai, r, python, java"
hasley.docx,johndoe@email.com,"ml, sql, ai, r, python, java"
hasley.pdf,johndoe@email.com,"ml, sql, ai, r, python, java"
hasley.txt,johndoe@gmail.com,"ml, sql, ai, r, python, java"
john smith.pdf,john.smith@email.com,"sql, ai, r, python, java"
john smith.txt,john.smith@gmail.com,"sql, ai, r, python, java"
johnny.pdf,johndoe@email.com,"ds, ml, sql, ai, r, python"
johnny.txt.txt,johndoe@email.com,"ds, ml, sql, ai, r, python"
Rohan.pdf,gaurav@gmail.com,"ds, ml, sql, hadoop, ai, r, leadership"
rohan.txt,gaurav@gmail.com,"ds, ml, sql, hadoop, ai, r, leadership"
rohit.txt,gaurav@gmail.com,"ds, ml, ai, r, leadership, python"
snoop dogg.txt,johndoe@email.com,"ml, sql, ai, r, python, java"
tupac.txt,johndoe@email.com,"ml, sql, ai, r, python, java"
yash.txt,john.smith@email.com,"ml, sql, ai, r, python, java"
